名称   类型   价格   库存
ABC   aa     100   2000
BCD   aa     200   3000
CDE   aa     300   4000
DEF   aa     40    50000
EFG   aa     5000  60
FGH   aa     60    700
GHI   aa     7     80000
HIJ   aa     0.8   90000
IJK   aa     199   1000
JKL   aa     89    2000
KLM   bb     369   1000
LMN   bb     400   2000
MNO   bb     999   888
NOP   bb     55    999
OPQ   bb     666   1000
PQR   bb     555   2000
QRS   cc     20    20000
RST   cc     1     1000
STU   cc     1000  100
TUV   cc     786   300
UVW   dd     0.99  1000
VWX   dd     654   555
WXY   dd     777   888
XYZ   dd     999   222
